dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1514678400,2017-12-31 00:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,9.91,6.41,8,12,983,,,93,4.63,140,,,,,75,803,Clouds,broken clouds,04n
1514682000,2017-12-31 01:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,11.09,1.29,11,11.57,983,,,82,13.38,230,,,,,75,803,Clouds,broken clouds,04n
1514685600,2017-12-31 02:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,11.01,2.37,10.51,11.52,982,,,76,11.32,220,,,,,75,803,Clouds,broken clouds,04n
1514689200,2017-12-31 03:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,9.99,-1.95,9.27,10.58,983,,,62,14.92,240,,,,,75,803,Clouds,broken clouds,04n
1514692800,2017-12-31 04:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,8.6,-5.04,8,9.59,984,,,61,16.98,240,,,,,75,803,Clouds,broken clouds,04n
1514696400,2017-12-31 05:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,7.54,-2.5,7,8.69,984,,,76,12.35,230,,,,,75,803,Clouds,broken clouds,04n
1514700000,2017-12-31 06:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,7.05,-2.55,6.47,8.11,985,,,70,11.32,230,,,,,75,803,Clouds,broken clouds,04n
1514703600,2017-12-31 07:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,6.61,-1.79,6,7.79,985,,,76,9.77,230,,,,,75,803,Clouds,broken clouds,04n
1514707200,2017-12-31 08:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,6.59,-2.53,5.92,7.68,986,,,76,10.8,230,,,,,75,803,Clouds,broken clouds,04n
1514710800,2017-12-31 09:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,6.13,-1.66,5.86,7.59,986,,,75,8.75,230,,,,,40,802,Clouds,scattered clouds,03d
1514714400,2017-12-31 10:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,6.56,-1.68,5.83,7.46,987,,,70,9.26,230,,,,,40,802,Clouds,scattered clouds,03d
1514718000,2017-12-31 11:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,7.06,-1.26,6.73,7.89,986,,,76,9.77,250,,,,,40,802,Clouds,scattered clouds,03d
