DATASOURCE,DAYOFSERVICE,TRIPID,PROGRNUMBER,STOPPOINTID,PLANNEDTIME_ARR,PLANNEDTIME_DEP,ACTUALTIME_ARR,ACTUALTIME_DEP,VEHICLEID,PASSENGERS,PASSENGERSIN,PASSENGERSOUT,DISTANCE,SUPPRESSED,JUSTIFICATIONID,LASTUPDATE,NOTE
0,DB,01-JAN-18 00:00:00,5971878,43,1086,39628,39628,39323,39337,2172284,,,,,,,08-JAN-18 17:21:10,
1,DB,01-JAN-18 00:00:00,5967670,84,119,46080,46080,46308,46308,2868338,,,,,,,08-JAN-18 17:21:10,
2,DB,01-JAN-18 00:00:00,5967950,20,987,83858,83858,83646,83646,2172266,,,,,,,08-JAN-18 17:21:10,
3,DB,01-JAN-18 00:00:00,5960839,7,637,77654,77654,77697,77697,2868406,,,,,,,08-JAN-18 17:21:10,
4,DB,01-JAN-18 00:00:00,5960279,28,838,59292,59292,58819,58819,2868344,,,,,,,08-JAN-18 17:21:10,
5,DB,01-JAN-18 00:00:00,5969701,57,203,84417,84417,85019,85019,1001108,,,,,,,08-JAN-18 17:21:10,
6,DB,01-JAN-18 00:00:00,5960936,37,1902,46740,46740,46366,46404,2868370,,,,,,,08-JAN-18 17:21:10,
7,DB,01-JAN-18 00:00:00,5970761,50,4565,45527,45527,45000,45000,2868378,,,,,,,08-JAN-18 17:21:10,
8,DB,01-JAN-18 00:00:00,5955452,94,45,47100,47100,46914,46923,2534846,,,,,,,08-JAN-18 17:21:10,
9,DB,01-JAN-18 00:00:00,5967787,85,7653,50615,50615,50384,50384,2534808,,,,,,,08-JAN-18 17:21:10,
10,DB,01-JAN-18 00:00:00,5958429,8,1152,43628,43628,43608,43617,2693212,,,,,,,08-JAN-18 17:21:10,
11,DB,02-JAN-18 00:00:00,5956941,40,2383,28702,28702,28938,28975,1000752,,,,,,,09-JAN-18 20:18:05,
12,DB,02-JAN-18 00:00:00,5970431,24,1124,62881,62881,62494,62494,1001058,,,,,,,09-JAN-18 20:18:05,
